file,class,reasoner,iterations,time,n_subsumers,subsumers
TestOntologies/bfo.basic-formal-ontology.2.owl.xml,BFO_0000144,2,4,0.3107,4,"['BFO_0000001', 'BFO_0000144', 'BFO_0000003', 'BFO_0000015']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,TinyPolarAminoAcid,3,,,3,"['AminoAcid', 'TinyPolarAminoAcid', 'SpecificAminoAcid']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,TinyPolarAminoAcid,1,9,1.6226,3,"['TinyPolarAminoAcid', 'AminoAcid', 'SpecificAminoAcid']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,TinyPolarAminoAcid,2,10,1.9697,3,"['TinyPolarAminoAcid', 'AminoAcid', 'SpecificAminoAcid']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Size,3,,,2,"['RefiningFeature', 'Size']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Size,1,2,0.4655,2,"['RefiningFeature', 'Size']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Size,2,2,0.6122,2,"['RefiningFeature', 'Size']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,I,3,,,5,"['I', 'AminoAcid', 'AliphaticAminoAcid', 'SpecificAminoAcid', 'LargeAliphaticAminoAcid']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,I,1,22,4.2866,5,"['SpecificAminoAcid', 'I', 'LargeAliphaticAminoAcid', 'AminoAcid', 'AliphaticAminoAcid']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,I,2,20,3.6575,5,"['SpecificAminoAcid', 'I', 'LargeAliphaticAminoAcid', 'AminoAcid', 'AliphaticAminoAcid']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Hydrophobicity,3,,,2,"['Hydrophobicity', 'RefiningFeature']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Hydrophobicity,1,2,0.48,2,"['RefiningFeature', 'Hydrophobicity']"
TestOntologies/amino-acid.amino-acid-ontology.2.owl.xml,Hydrophobicity,2,2,0.5541,2,"['RefiningFeature', 'Hydrophobicity']"
